    10         262344.005488557624631       0.2857370377      -0.3584702015      -0.1207724884
    22          33693.434423593462270       0.3036387563      -0.2972699106       0.0862310827
    45           6505.885013107706982       0.3057101369      -0.2905379534       0.0102741010
   408             25.414831205471135       0.3147439063      -0.2508606613       0.0198858697
  1420              0.861878706812487       0.3141220510      -0.2421113551      -0.0082799895
  2326              0.203782739504139       0.3307078183      -0.1468082517       0.0350985527
 23000              0.000541118788856       0.3014626503       0.3059566319      -0.1992983520
 33000              0.000230342040227       0.2937142849       0.3309060633      -0.3274442852
 41000              0.000140251598293       0.2907125354       0.3405794799      -0.3353360593
 61000              0.000064825879580       0.2857776880       0.3609407544       0.0029145363
 94000              0.000053343778382       0.2868194878       0.3259387314       0.8466275334
